elapsed_s,coverage,overlap,drone_id,lat,lon,dist_m,efficiency,utilization,territory_cells
38.1,0.0031,1.0000,0,-35.363262,149.166893,856.3,0.0000,0.2000,178
38.1,0.0031,1.0000,1,-35.362468,149.163897,461.9,0.3819,0.0000,188
38.1,0.0031,1.0000,2,-35.361978,149.165748,0.1,1.0000,0.2000,178
38.1,0.0031,1.0000,3,-35.362468,149.163897,747.4,0.2360,0.0000,188
38.1,0.0031,1.0000,4,-35.364546,149.165749,814.6,0.0001,0.0000,168
48.2,0.0031,1.0000,0,-35.361978,149.165748,1318.0,0.1338,0.2000,178
48.2,0.0031,1.0000,1,-35.361978,149.165748,1209.0,0.0000,0.0000,188
48.2,0.0031,1.0000,2,-35.361978,149.165748,747.2,0.2360,0.2000,178
48.2,0.0031,1.0000,3,-35.362468,149.163897,1100.1,0.1603,0.0000,188
48.2,0.0031,1.0000,4,-35.362468,149.163897,1629.1,0.1752,0.0000,168
58.2,0.0031,1.0000,0,-35.362468,149.163897,2417.8,0.1180,0.2000,178
58.2,0.0031,1.0000,1,-35.362468,149.163897,1956.1,0.0902,0.0000,188
58.2,0.0031,1.0000,2,-35.362468,149.163897,1670.6,0.0000,0.2000,178
58.2,0.0031,1.0000,3,-35.361978,149.165748,1276.5,0.2235,0.0000,188
58.2,0.0031,1.0000,4,-35.362468,149.163897,1981.8,0.1440,0.0000,168
68.2,0.0106,1.0000,0,-35.362208,149.164304,2464.7,0.1064,0.1176,178
68.2,0.0106,1.0000,1,-35.362195,149.164324,3141.7,0.0418,0.1176,188
68.2,0.0106,1.0000,2,-35.362221,149.164283,2259.2,0.0197,0.1765,178
68.2,0.0106,1.0000,3,-35.362245,149.164240,2019.1,0.1008,0.1176,188
68.2,0.0106,1.0000,4,-35.362208,149.164304,2917.7,0.0997,0.0000,168
